corporate                     ,employees,total_stars,total_followers,stars_per_employee,followers_per_employee
Red Hat                       ,69       ,1690       ,1058           ,41                ,25
Flipkart                      ,156      ,1078       ,582            ,27                ,11
ThoughtWorks                  ,163      ,2536       ,1018           ,32                ,10
Microsoft                     ,235      ,892        ,1102           ,14                ,10
IBM                           ,157      ,1117       ,431            ,33                ,9
Practo                        ,82       ,318        ,209            ,14                ,6
Thoughtworks                  ,67       ,266        ,202            ,9                 ,6
Freshdesk                     ,101      ,355        ,255            ,14                ,6
Amazon                        ,73       ,274        ,234            ,9                 ,6
Sapient                       ,120      ,74         ,119            ,6                 ,5
TCS                           ,434      ,588        ,375            ,20                ,9
Oracle                        ,108      ,75         ,150            ,3                 ,4
Cognizant                     ,298      ,550        ,353            ,17                ,8
Tech Mahindra                 ,73       ,91         ,65             ,6                 ,4
Infosys                       ,164      ,88         ,95             ,4                 ,3
Accenture                     ,184      ,111        ,99             ,5                 ,3
Wipro Technologies            ,84       ,71         ,57             ,5                 ,3
Capgemini                     ,113      ,141        ,83             ,11                ,3
